categoria,camion,cantidad_total,numero_productos,stock_estimado,stock_minimo,demanda_semanal,unidades_transito,tiempo_reposicion_dias,dias_sin_reposicion,tiene_incidencia,rotacion_producto,riesgo_operativo,anomalia_dbscan,cluster_meanshift
Muebles,Camión 06,109,1,100,35,156,25,1,36,1,Baja,Riesgo,0,0
Tecnología,Camión 06,113,1,24,33,67,99,12,25,0,Alta,Riesgo,0,0
Muebles,Camión 05,99,2,43,21,18,18,18,11,0,Media,Riesgo,0,0
Electrodoméstico,Camión 05,40,2,64,25,57,80,16,14,0,Media,Normal,0,0
Tecnología,Camión 06,14,4,70,32,124,44,12,29,0,Baja,Riesgo,0,0
Muebles,Camión 05,35,5,69,49,50,25,13,10,1,Alta,Riesgo,0,0
Ropa,Camión 03,48,7,128,18,57,21,8,5,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,109,1,168,41,34,57,1,8,0,Baja,Normal,0,0
Electrodoméstico,Camión 03,84,5,156,24,125,62,7,5,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,56,7,159,46,87,27,15,24,0,Alta,Normal,0,0
Tecnología,Camión 05,49,7,134,22,117,64,13,26,0,Media,Normal,0,0
Muebles,Camión 05,13,4,163,14,34,43,13,6,0,Alta,Normal,0,0
Muebles,Camión 01,61,7,61,20,156,99,9,16,0,Alta,Riesgo,0,0
Ropa,Camión 01,102,7,82,19,48,42,15,36,0,Alta,Riesgo,0,0
Ropa,Camión 05,49,1,33,22,128,36,4,12,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,46,1,19,50,88,65,13,11,0,Baja,Riesgo,0,0
Ropa,Camión 05,113,6,16,55,89,16,12,3,0,Baja,Riesgo,0,0
Tecnología,Camión 06,62,5,105,59,36,39,5,37,0,Alta,Normal,0,0
Muebles,Camión 05,8,3,160,24,113,37,7,6,0,Alta,Normal,0,0
Electrodoméstico,Camión 01,43,2,88,51,83,84,8,19,0,Baja,Normal,0,0
Ropa,Camión 06,20,3,129,16,77,60,5,18,0,Baja,Normal,0,0
Tecnología,Camión 05,97,5,107,49,156,8,9,16,0,Alta,Riesgo,0,0
Tecnología,Camión 01,90,2,28,37,37,76,14,23,1,Alta,Riesgo,0,0
Ropa,Camión 06,39,3,153,41,132,74,12,37,1,Media,Riesgo,0,0
Muebles,Camión 05,85,6,142,44,147,60,4,9,0,Baja,Normal,0,0
Ropa,Camión 05,117,2,114,24,92,79,8,3,0,Alta,Normal,0,0
Electrodoméstico,Camión 05,49,1,82,57,39,15,17,8,0,Baja,Normal,0,0
Ropa,Camión 06,64,3,105,45,31,1,8,38,0,Baja,Normal,0,0
Tecnología,Camión 01,62,2,150,30,12,71,1,4,0,Baja,Normal,0,0
Ropa,Camión 01,106,6,146,15,110,42,2,12,1,Media,Riesgo,0,0
Muebles,Camión 03,107,7,166,10,114,41,4,31,0,Alta,Normal,0,0
Alimentos,Camión 05,54,2,132,13,11,76,1,25,0,Alta,Normal,0,0
Ropa,Camión 03,105,2,62,20,63,56,7,16,0,Baja,Normal,0,0
Muebles,Camión 03,9,6,80,53,15,80,1,14,1,Alta,Normal,0,0
Muebles,Camión 01,88,7,154,35,116,87,9,13,1,Media,Riesgo,0,0
Tecnología,Camión 06,37,3,40,46,132,66,3,7,0,Baja,Riesgo,0,0
Muebles,Camión 06,49,4,177,32,11,29,12,12,0,Media,Normal,0,0
Muebles,Camión 01,41,3,168,38,120,12,19,37,0,Media,Normal,0,0
Muebles,Camión 06,17,7,26,30,11,18,15,4,0,Alta,Riesgo,0,0
Muebles,Camión 03,88,5,131,57,102,6,16,2,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 05,21,6,84,54,110,8,10,35,1,Media,Riesgo,0,0
Electrodoméstico,Camión 01,51,3,104,54,106,82,6,3,0,Alta,Normal,0,0
Tecnología,Camión 05,59,2,100,58,120,53,17,4,1,Media,Riesgo,0,0
Ropa,Camión 06,39,6,165,36,15,85,17,38,0,Media,Normal,0,0
Muebles,Camión 05,55,1,177,48,136,81,19,12,1,Baja,Riesgo,0,0
Ropa,Camión 06,41,7,168,49,113,60,18,19,0,Media,Normal,0,0
Ropa,Camión 06,39,3,152,22,156,86,11,10,0,Media,Normal,0,0
Tecnología,Camión 03,13,6,22,32,10,1,7,1,0,Alta,Riesgo,0,0
Muebles,Camión 06,64,3,42,25,42,49,10,17,0,Baja,Riesgo,0,0
Muebles,Camión 03,11,6,155,39,49,74,7,16,1,Alta,Normal,0,0
Alimentos,Camión 03,110,2,113,13,41,30,5,9,0,Baja,Normal,0,0
Ropa,Camión 03,19,1,127,49,26,32,12,9,0,Alta,Normal,0,0
Ropa,Camión 01,11,1,148,25,135,77,16,9,0,Media,Normal,0,0
Electrodoméstico,Camión 01,77,5,153,40,17,79,18,12,0,Baja,Riesgo,0,0
Alimentos,Camión 06,46,6,108,51,66,10,3,15,0,Baja,Normal,0,0
Electrodoméstico,Camión 03,45,3,144,34,51,32,15,2,0,Baja,Normal,0,0
Electrodoméstico,Camión 01,1,1,148,53,107,6,5,11,0,Baja,Normal,0,0
Electrodoméstico,Camión 03,40,7,85,21,146,30,13,11,0,Alta,Riesgo,0,0
Tecnología,Camión 05,108,1,91,35,129,47,19,8,1,Alta,Riesgo,0,0
Tecnología,Camión 05,19,4,146,46,96,46,12,32,1,Baja,Normal,0,0
Electrodoméstico,Camión 05,76,4,65,57,63,77,5,6,0,Baja,Normal,0,0
Alimentos,Camión 06,72,1,50,42,93,91,6,20,0,Baja,Normal,0,0
Ropa,Camión 03,72,6,36,37,34,52,7,39,0,Alta,Riesgo,0,0
Alimentos,Camión 05,61,5,19,18,76,79,10,35,0,Baja,Riesgo,0,0
Muebles,Camión 01,117,1,48,21,55,18,16,8,0,Baja,Riesgo,0,0
Tecnología,Camión 05,109,2,149,14,31,80,8,34,0,Baja,Normal,0,0
Ropa,Camión 05,12,3,173,37,148,89,9,19,0,Alta,Normal,0,0
Ropa,Camión 05,61,5,58,44,17,5,4,7,0,Media,Normal,0,0
Muebles,Camión 06,112,2,48,14,48,48,8,31,0,Media,Riesgo,0,0
Muebles,Camión 01,33,5,102,43,58,72,7,18,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,45,2,9,55,55,49,15,14,0,Media,Riesgo,0,0
Tecnología,Camión 01,90,3,113,43,47,80,3,39,0,Baja,Normal,0,0
Tecnología,Camión 03,103,3,31,22,145,94,17,36,1,Baja,Riesgo,0,0
Alimentos,Camión 06,92,4,120,48,63,11,11,17,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,69,6,91,51,101,22,9,37,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,8,2,108,54,49,53,5,9,0,Media,Normal,0,0
Electrodoméstico,Camión 06,25,4,127,57,43,68,10,20,0,Media,Normal,0,0
Electrodoméstico,Camión 03,91,2,83,23,105,99,15,28,0,Baja,Riesgo,0,0
Tecnología,Camión 05,46,4,47,20,88,58,14,20,0,Alta,Normal,0,0
Tecnología,Camión 03,87,3,101,51,136,35,4,36,0,Media,Normal,0,0
Electrodoméstico,Camión 01,30,5,35,47,26,2,2,27,1,Media,Riesgo,0,0
Alimentos,Camión 06,109,7,103,13,119,57,12,8,0,Baja,Riesgo,0,0
Ropa,Camión 06,47,4,21,42,61,87,1,32,1,Baja,Riesgo,0,0
Ropa,Camión 01,87,2,87,16,127,54,5,1,0,Baja,Normal,0,0
Alimentos,Camión 03,49,2,114,50,18,56,6,17,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,47,7,36,17,42,16,11,9,0,Media,Normal,0,0
Tecnología,Camión 05,84,6,172,46,122,38,8,20,0,Alta,Normal,0,0
Ropa,Camión 01,82,3,145,19,158,89,7,32,0,Alta,Normal,0,0
Muebles,Camión 05,18,2,39,52,94,67,4,2,0,Baja,Riesgo,0,0
Muebles,Camión 03,66,1,137,24,19,54,6,32,0,Baja,Normal,0,0
Alimentos,Camión 03,68,5,33,47,15,44,16,9,0,Media,Riesgo,0,0
Electrodoméstico,Camión 01,94,4,74,24,124,75,15,30,1,Baja,Riesgo,0,0
Ropa,Camión 03,33,6,157,14,130,0,14,20,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,36,7,99,38,150,20,12,38,0,Baja,Riesgo,0,0
Ropa,Camión 01,82,5,26,28,74,82,12,1,0,Alta,Riesgo,0,0
Alimentos,Camión 03,101,3,177,19,29,20,16,5,0,Baja,Riesgo,0,0
Alimentos,Camión 01,19,6,73,21,66,51,15,35,0,Baja,Normal,0,0
Muebles,Camión 05,111,4,93,13,55,81,13,36,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,28,4,76,40,145,42,11,1,0,Media,Riesgo,0,0
Muebles,Camión 06,40,7,133,27,19,51,17,14,1,Media,Riesgo,0,0
Electrodoméstico,Camión 03,84,1,176,25,122,66,15,9,0,Baja,Riesgo,0,0
Muebles,Camión 01,113,7,91,49,148,43,14,30,0,Baja,Riesgo,0,0
Tecnología,Camión 01,97,3,100,45,21,31,10,24,0,Alta,Riesgo,0,0
Tecnología,Camión 03,76,6,79,34,147,9,12,4,0,Alta,Riesgo,0,0
Tecnología,Camión 06,115,6,171,32,20,63,16,14,0,Baja,Riesgo,0,0
Tecnología,Camión 06,15,2,58,21,127,78,15,25,1,Alta,Normal,0,0
Ropa,Camión 06,41,1,92,43,48,68,10,4,0,Media,Normal,0,0
Tecnología,Camión 01,39,1,161,45,62,67,4,25,0,Media,Normal,0,0
Alimentos,Camión 03,2,6,58,46,65,27,9,10,0,Alta,Normal,0,0
Alimentos,Camión 05,63,6,20,12,113,52,9,35,0,Alta,Riesgo,0,0
Ropa,Camión 01,29,5,103,18,138,50,11,7,0,Alta,Normal,0,0
Tecnología,Camión 06,105,5,24,27,65,52,11,13,0,Media,Riesgo,0,0
Tecnología,Camión 03,74,5,50,52,127,3,7,4,0,Baja,Riesgo,0,0
Tecnología,Camión 06,66,1,131,44,141,78,10,36,1,Alta,Riesgo,0,0
Muebles,Camión 05,51,2,62,43,39,16,4,14,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,75,4,115,50,21,66,5,18,1,Alta,Riesgo,0,0
Muebles,Camión 06,77,5,133,23,44,73,5,8,0,Baja,Normal,0,0
Electrodoméstico,Camión 05,10,2,85,13,86,46,11,32,1,Alta,Normal,0,0
Tecnología,Camión 03,14,7,161,38,111,55,9,27,0,Alta,Normal,0,0
Tecnología,Camión 01,82,3,88,50,96,22,16,37,0,Media,Riesgo,0,0
Muebles,Camión 03,51,5,74,54,61,17,9,23,1,Alta,Riesgo,0,0
Muebles,Camión 05,118,7,12,59,89,0,4,7,0,Media,Riesgo,0,0
Electrodoméstico,Camión 06,73,4,33,24,144,34,2,12,0,Baja,Riesgo,0,0
Alimentos,Camión 03,39,3,116,37,31,63,14,25,0,Alta,Normal,0,0
Electrodoméstico,Camión 01,28,3,165,51,84,57,3,3,1,Alta,Riesgo,0,0
Muebles,Camión 05,3,4,135,25,67,94,18,26,1,Media,Normal,0,0
Muebles,Camión 03,84,5,167,21,102,58,6,4,0,Baja,Normal,0,0
Ropa,Camión 01,70,1,112,14,112,0,11,36,0,Baja,Riesgo,0,0
Muebles,Camión 05,27,4,113,43,149,2,18,15,1,Media,Riesgo,0,0
Ropa,Camión 01,117,4,24,51,16,66,12,32,0,Baja,Riesgo,0,0
Alimentos,Camión 05,2,4,77,10,137,36,5,29,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 06,93,3,171,48,64,82,9,10,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 03,38,2,8,41,115,28,18,21,0,Baja,Riesgo,0,0
Ropa,Camión 01,3,7,23,35,71,88,19,16,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,16,1,106,26,99,32,3,19,0,Baja,Normal,0,0
Muebles,Camión 01,94,5,177,57,107,99,9,29,0,Baja,Riesgo,0,0
Tecnología,Camión 01,40,5,175,36,86,60,4,18,0,Baja,Normal,0,0
Ropa,Camión 03,2,7,145,33,128,92,17,16,0,Alta,Normal,0,0
Electrodoméstico,Camión 06,81,2,145,44,45,89,17,1,0,Media,Riesgo,0,0
Ropa,Camión 01,41,4,90,55,98,3,2,2,1,Baja,Riesgo,0,0
Ropa,Camión 05,12,1,56,51,154,13,9,15,0,Media,Riesgo,0,0
Tecnología,Camión 05,35,5,115,48,139,90,9,39,0,Baja,Normal,0,0
Muebles,Camión 06,107,7,113,35,150,32,5,28,1,Baja,Riesgo,0,0
Ropa,Camión 05,65,6,90,58,102,21,15,1,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,55,7,47,47,123,47,15,5,0,Media,Riesgo,0,0
Alimentos,Camión 05,45,5,46,32,37,2,3,22,0,Media,Normal,0,0
Ropa,Camión 03,79,4,94,31,152,86,19,36,0,Alta,Riesgo,0,0
Ropa,Camión 01,90,6,119,13,42,84,3,13,1,Alta,Riesgo,0,0
Tecnología,Camión 03,101,2,30,58,29,22,6,1,1,Media,Riesgo,0,0
Muebles,Camión 01,85,1,155,18,149,67,4,16,0,Baja,Normal,0,0
Alimentos,Camión 01,62,2,47,13,110,20,13,22,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,49,2,81,16,32,42,13,32,0,Media,Normal,0,0
Alimentos,Camión 03,95,7,160,32,121,94,11,16,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,25,1,141,11,23,84,5,15,0,Alta,Normal,0,0
Muebles,Camión 03,23,1,24,58,100,25,1,12,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,24,5,43,33,86,40,9,1,0,Alta,Riesgo,0,0
Tecnología,Camión 05,38,5,16,49,94,98,17,17,0,Media,Riesgo,0,0
Tecnología,Camión 05,28,1,15,40,118,37,1,28,1,Media,Riesgo,0,0
Tecnología,Camión 01,21,6,158,56,40,87,3,7,0,Media,Normal,0,0
Tecnología,Camión 03,54,3,46,40,131,10,15,9,0,Baja,Riesgo,0,0
Alimentos,Camión 05,107,5,159,56,116,28,10,22,0,Media,Riesgo,0,0
Muebles,Camión 03,18,3,15,49,63,59,8,26,0,Media,Riesgo,0,0
Electrodoméstico,Camión 03,36,7,42,57,142,66,12,12,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,99,6,102,52,150,64,15,7,0,Baja,Riesgo,0,0
Tecnología,Camión 05,45,1,175,43,52,60,9,15,0,Baja,Normal,0,0
Tecnología,Camión 01,119,6,23,33,98,18,10,38,0,Alta,Riesgo,0,0
Ropa,Camión 01,73,5,138,58,124,45,9,21,1,Baja,Riesgo,0,0
Muebles,Camión 05,53,2,178,35,108,48,15,14,0,Media,Normal,0,0
Alimentos,Camión 05,102,7,120,25,56,21,1,2,0,Baja,Normal,0,0
Electrodoméstico,Camión 06,30,1,117,56,80,77,2,8,0,Alta,Normal,0,0
Ropa,Camión 06,60,4,174,22,76,56,19,6,1,Baja,Riesgo,0,0
Ropa,Camión 03,108,7,69,24,71,13,14,37,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 05,98,3,103,36,118,43,8,37,0,Media,Normal,0,0
Alimentos,Camión 06,32,6,76,13,46,15,6,33,1,Media,Riesgo,0,0
Ropa,Camión 03,67,1,56,25,128,96,12,6,0,Alta,Riesgo,0,0
Ropa,Camión 03,67,7,122,39,95,76,15,26,0,Media,Riesgo,0,0
Muebles,Camión 03,28,6,179,53,135,11,14,39,0,Media,Normal,0,0
Alimentos,Camión 06,44,1,124,39,145,54,1,37,0,Baja,Normal,0,0
Ropa,Camión 05,79,5,11,45,61,50,11,14,0,Media,Riesgo,0,0
Alimentos,Camión 01,41,7,15,12,100,38,3,37,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,63,5,107,31,42,32,19,8,1,Media,Riesgo,0,0
Tecnología,Camión 06,23,7,65,58,90,32,18,39,0,Baja,Riesgo,0,0
Ropa,Camión 06,104,5,72,31,51,28,2,13,0,Alta,Normal,0,0
Muebles,Camión 01,75,6,157,59,121,68,7,13,0,Media,Normal,0,0
Electrodoméstico,Camión 01,48,4,144,59,135,69,8,28,1,Media,Riesgo,0,0
Alimentos,Camión 06,32,7,158,58,145,30,19,18,0,Media,Normal,0,0
Electrodoméstico,Camión 05,57,7,106,21,115,79,15,19,0,Alta,Normal,0,0
Ropa,Camión 01,118,5,114,30,134,30,10,38,0,Baja,Riesgo,0,0
Alimentos,Camión 06,100,1,144,13,122,88,1,32,0,Alta,Normal,0,0
Tecnología,Camión 01,33,7,175,40,73,45,6,22,0,Alta,Normal,0,0
Electrodoméstico,Camión 05,24,5,55,53,132,96,13,2,0,Baja,Normal,0,0
Ropa,Camión 03,39,2,121,40,123,76,14,13,0,Alta,Normal,0,0
Muebles,Camión 01,34,5,169,32,29,51,3,23,1,Alta,Riesgo,0,0
Alimentos,Camión 05,56,6,50,29,25,9,11,25,0,Media,Normal,0,0
Electrodoméstico,Camión 06,28,4,57,24,154,87,3,28,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,37,2,92,32,28,73,19,11,1,Media,Riesgo,0,0
Tecnología,Camión 01,7,6,125,37,129,40,10,33,1,Alta,Normal,0,0
Tecnología,Camión 06,68,6,17,25,145,94,15,24,0,Media,Riesgo,0,0
Muebles,Camión 03,37,6,93,46,47,76,11,2,1,Media,Riesgo,0,0
Muebles,Camión 06,56,1,129,30,102,2,15,30,0,Media,Normal,0,0
Ropa,Camión 01,65,6,122,24,114,58,13,17,0,Baja,Riesgo,0,0
Ropa,Camión 06,65,1,58,26,109,51,5,34,1,Alta,Riesgo,0,0
Muebles,Camión 05,47,6,120,59,99,33,4,38,0,Alta,Normal,0,0
Muebles,Camión 06,20,3,122,46,53,48,13,22,0,Alta,Normal,0,0
Alimentos,Camión 01,19,2,8,22,85,27,9,5,0,Baja,Riesgo,0,0
Tecnología,Camión 06,29,3,79,28,154,82,17,16,0,Media,Normal,0,0
Ropa,Camión 03,74,6,53,39,88,86,2,13,0,Alta,Normal,0,0
Tecnología,Camión 06,60,2,11,54,82,95,5,26,0,Baja,Riesgo,0,0
Tecnología,Camión 03,18,2,114,27,149,12,16,31,1,Baja,Riesgo,0,0
Muebles,Camión 05,92,7,126,23,105,96,7,39,0,Alta,Normal,0,0
Alimentos,Camión 03,35,4,15,45,98,97,1,23,0,Media,Riesgo,0,0
Electrodoméstico,Camión 06,43,3,96,45,112,96,12,12,1,Baja,Riesgo,0,0
Alimentos,Camión 01,111,4,177,29,155,68,11,14,0,Alta,Riesgo,0,0
Alimentos,Camión 03,95,2,27,28,15,66,12,18,0,Media,Riesgo,0,0
Tecnología,Camión 05,91,1,32,54,131,60,19,27,0,Baja,Riesgo,0,0
Alimentos,Camión 03,11,2,115,53,125,59,12,28,0,Baja,Normal,0,0
Ropa,Camión 03,49,4,61,16,71,70,12,18,0,Alta,Normal,0,0
Tecnología,Camión 03,113,3,30,53,153,23,14,16,0,Alta,Riesgo,0,0
Ropa,Camión 05,38,6,157,13,145,62,2,16,0,Media,Normal,0,0
Electrodoméstico,Camión 06,64,7,58,43,98,85,2,13,0,Alta,Normal,0,0
Tecnología,Camión 03,69,7,33,11,105,60,4,29,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,8,7,101,14,135,22,16,9,1,Media,Riesgo,0,0
Tecnología,Camión 01,34,6,168,19,99,29,10,26,0,Alta,Normal,0,0
Muebles,Camión 05,48,7,18,41,95,59,13,28,0,Media,Riesgo,0,0
Alimentos,Camión 03,116,3,82,51,147,17,2,13,0,Media,Riesgo,0,0
Muebles,Camión 05,56,6,39,50,130,95,3,36,1,Media,Riesgo,0,0
Electrodoméstico,Camión 03,76,7,34,22,85,55,19,9,0,Alta,Riesgo,0,0
Alimentos,Camión 06,102,6,96,48,101,52,6,14,1,Media,Riesgo,0,0
Tecnología,Camión 06,65,4,21,14,79,6,19,12,0,Alta,Riesgo,0,0
Alimentos,Camión 03,31,3,162,19,157,96,19,32,1,Media,Riesgo,0,0
Ropa,Camión 06,4,5,97,19,142,68,8,38,0,Alta,Normal,0,0
Alimentos,Camión 03,113,1,177,47,32,91,14,3,0,Media,Riesgo,0,0
Ropa,Camión 06,109,7,83,36,146,71,10,16,0,Baja,Riesgo,0,0
Alimentos,Camión 01,50,1,114,30,67,78,3,20,0,Baja,Normal,0,0
Ropa,Camión 01,69,6,106,17,55,51,6,32,0,Baja,Normal,0,0
Electrodoméstico,Camión 01,30,1,110,10,31,3,15,23,0,Media,Normal,0,0
Muebles,Camión 05,88,3,51,37,17,33,18,17,0,Alta,Riesgo,0,0
Tecnología,Camión 05,59,3,68,58,132,68,14,16,0,Media,Normal,0,0
Alimentos,Camión 01,67,2,170,48,29,32,19,38,0,Media,Riesgo,0,0
Muebles,Camión 05,75,7,68,23,87,68,10,8,0,Media,Riesgo,0,0
Tecnología,Camión 06,45,2,91,30,48,37,15,19,0,Media,Normal,0,0
Tecnología,Camión 03,4,1,11,39,46,97,4,30,0,Alta,Riesgo,0,0
Ropa,Camión 03,26,5,26,30,84,25,2,34,0,Media,Riesgo,0,0
Electrodoméstico,Camión 03,27,2,85,58,127,0,3,14,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 01,46,2,173,18,113,3,7,22,0,Baja,Normal,0,0
Muebles,Camión 05,118,3,78,26,40,38,16,17,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 06,107,5,142,14,132,53,10,15,0,Media,Riesgo,0,0
Alimentos,Camión 06,64,6,139,40,63,89,19,32,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,91,1,129,49,43,32,17,13,0,Alta,Riesgo,0,0
Muebles,Camión 06,106,2,54,47,131,32,19,21,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,51,5,56,52,122,71,5,33,0,Media,Riesgo,0,0
Alimentos,Camión 06,50,7,165,28,71,19,13,27,0,Alta,Normal,0,0
Ropa,Camión 06,6,5,5,45,32,15,13,35,0,Baja,Riesgo,0,0
Muebles,Camión 05,59,1,166,59,55,20,11,16,0,Alta,Normal,0,0
Ropa,Camión 06,15,5,8,42,65,44,11,28,0,Media,Riesgo,0,0
Ropa,Camión 03,117,5,149,22,144,89,16,34,0,Media,Riesgo,0,0
Ropa,Camión 01,30,5,136,23,127,86,15,1,1,Alta,Riesgo,0,0
Tecnología,Camión 05,42,7,175,42,140,81,17,31,1,Media,Riesgo,0,0
Tecnología,Camión 06,101,2,8,38,122,61,18,36,0,Alta,Riesgo,0,0
Ropa,Camión 05,37,1,5,52,53,30,19,33,0,Alta,Riesgo,0,0
Muebles,Camión 06,42,7,75,58,137,41,4,33,0,Baja,Riesgo,0,0
Alimentos,Camión 03,101,5,39,45,117,11,5,39,0,Media,Riesgo,0,0
Alimentos,Camión 01,35,5,12,53,26,64,7,18,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 06,87,2,156,19,68,72,2,23,0,Media,Normal,0,0
Muebles,Camión 06,6,1,40,40,147,2,1,23,0,Alta,Riesgo,0,0
Tecnología,Camión 06,68,3,127,15,108,89,12,15,0,Media,Riesgo,0,0
Ropa,Camión 06,18,7,47,10,93,8,10,26,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,73,2,31,16,155,50,8,30,1,Media,Riesgo,0,0
Alimentos,Camión 01,113,1,36,36,54,15,1,25,0,Baja,Riesgo,0,0
Tecnología,Camión 03,29,7,82,30,117,87,12,16,0,Baja,Normal,0,0
Tecnología,Camión 01,77,5,125,37,71,77,2,39,0,Alta,Normal,0,0
Ropa,Camión 06,59,1,150,25,68,2,10,14,1,Baja,Riesgo,0,0
Alimentos,Camión 03,47,1,160,55,147,97,17,17,0,Alta,Normal,0,0
Muebles,Camión 03,116,6,161,32,20,96,3,12,1,Alta,Riesgo,0,0
Tecnología,Camión 03,17,1,20,29,111,23,7,29,0,Alta,Riesgo,0,0
Ropa,Camión 06,109,3,103,47,79,72,12,32,1,Media,Riesgo,0,0
Muebles,Camión 05,96,1,51,34,132,12,8,24,0,Alta,Riesgo,0,0
Alimentos,Camión 06,112,3,35,37,43,1,12,13,0,Baja,Riesgo,0,0
Tecnología,Camión 01,22,5,8,14,110,70,3,20,0,Media,Riesgo,0,0
Muebles,Camión 01,68,3,169,30,154,20,17,15,0,Baja,Riesgo,0,0
Muebles,Camión 06,69,7,21,27,113,18,9,4,0,Alta,Riesgo,0,0
Muebles,Camión 06,37,5,43,56,49,88,10,34,1,Alta,Riesgo,0,0
Tecnología,Camión 03,105,5,52,15,28,46,6,28,0,Baja,Riesgo,0,0
Tecnología,Camión 06,49,3,178,38,76,21,1,2,0,Media,Normal,0,0
Electrodoméstico,Camión 03,13,2,43,28,91,74,12,30,0,Baja,Riesgo,0,0
Alimentos,Camión 01,34,4,136,42,73,32,5,26,0,Alta,Normal,0,0
Ropa,Camión 03,109,1,34,10,92,31,13,26,1,Media,Riesgo,0,0
Muebles,Camión 06,86,6,162,54,56,63,15,20,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,53,4,26,12,15,84,11,28,1,Alta,Riesgo,0,0
Ropa,Camión 05,87,1,70,51,25,38,8,20,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 03,51,1,112,30,155,83,5,11,0,Alta,Normal,0,0
Tecnología,Camión 01,3,5,16,44,48,71,2,10,0,Baja,Riesgo,0,0
Muebles,Camión 03,42,1,40,50,122,41,12,23,1,Media,Riesgo,0,0
Ropa,Camión 01,98,6,22,49,149,8,2,37,0,Alta,Riesgo,0,0
Ropa,Camión 01,32,1,94,12,147,24,16,19,0,Alta,Riesgo,0,0
Ropa,Camión 03,109,3,5,34,80,88,3,18,0,Media,Riesgo,0,0
Ropa,Camión 05,51,4,131,54,119,96,10,27,0,Baja,Normal,0,0
Ropa,Camión 01,113,3,94,47,64,1,19,6,1,Alta,Riesgo,0,0
Electrodoméstico,Camión 01,85,6,91,54,138,18,8,10,0,Media,Riesgo,0,0
Muebles,Camión 01,46,1,94,29,58,19,7,2,0,Alta,Normal,0,0
Tecnología,Camión 05,108,7,138,53,30,92,1,24,1,Baja,Riesgo,0,0
Tecnología,Camión 05,21,6,74,54,46,69,12,38,0,Baja,Normal,0,0
Tecnología,Camión 06,44,5,48,43,125,16,5,28,0,Baja,Riesgo,0,0
Tecnología,Camión 03,11,3,156,30,33,88,16,28,0,Baja,Normal,0,0
Electrodoméstico,Camión 05,103,3,90,57,64,67,4,39,0,Media,Normal,0,0
Alimentos,Camión 03,68,2,23,32,34,93,17,2,0,Alta,Riesgo,0,0
Muebles,Camión 06,115,1,105,15,144,83,2,5,0,Media,Normal,0,0
Ropa,Camión 03,1,5,150,22,136,2,12,11,0,Baja,Normal,0,0
Alimentos,Camión 05,92,7,99,58,102,86,1,10,0,Baja,Normal,0,0
Tecnología,Camión 03,63,3,105,32,103,50,12,2,0,Baja,Riesgo,0,0
Alimentos,Camión 05,24,3,34,18,80,81,12,15,1,Baja,Normal,0,0
Muebles,Camión 03,99,5,174,26,131,25,12,39,0,Alta,Riesgo,0,0
Ropa,Camión 05,13,6,37,11,33,55,19,37,1,Baja,Riesgo,0,0
Ropa,Camión 05,111,6,16,28,20,99,17,7,1,Alta,Riesgo,0,0
Muebles,Camión 03,98,1,122,28,82,63,11,20,0,Baja,Riesgo,0,0
Muebles,Camión 06,11,2,98,16,21,7,13,34,1,Alta,Normal,0,0
Tecnología,Camión 01,100,3,159,51,44,80,8,35,0,Alta,Normal,0,0
Ropa,Camión 06,51,2,171,51,150,94,10,34,1,Baja,Riesgo,0,0
Alimentos,Camión 03,17,6,141,29,32,36,8,22,0,Media,Normal,0,0
Electrodoméstico,Camión 06,99,6,153,18,92,96,8,31,0,Media,Normal,0,0
Electrodoméstico,Camión 05,82,4,80,26,97,26,9,23,0,Media,Riesgo,0,0
Muebles,Camión 01,104,7,33,36,89,44,7,19,0,Media,Riesgo,0,0
